componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_total,cadastro_encontrado
G1002876,BUJAO SX INT  AC GALV - G 1/2 14FPP C/ VEDACAO,PC,MP,MATERIA PRIMA,N,1.0,True
G1003139,LANTERNA LATERAL AMARELA LED BIVOLT CHASSI 2057,PC,MP,MATERIA PRIMA,N,100.0,True
G1003384,"PF SX M6 X 1,00 X 20 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,2.0,True
G1003417,"REBITE ALUMINIO 3,2 X 12MM",PC,MP,MATERIA PRIMA,N,18.0,True
G1003426,DOBRADICA GONZO 1/2 ( MACHO E FEMEA),PC,MP,MATERIA PRIMA,N,4.0,True
G1003572,MEDIDOR TOTALIZADOR VOLUMETRICO ANALOGICO 4 DIGITOS REF K44 PIUSI,PC,MP,MATERIA PRIMA,N,4.0,True
G1003707,ADAPTADOR AGN1/4POL AGJ9/16POL GEHN04HJ06 (FORA DO PADRAO),PC,MP,MATERIA PRIMA,N,1.0,True
G1003793,"PINO QUEBRA DEDO 1/4 X 2"" MONTADO C/ CABO DE ACO 2MM CONF DES",UN,MP,MATERIA PRIMA,N,2.0,True
G1004237,INSERT DE COMPRESSAO 10MM,UN,MP,MATERIA PRIMA,N,24.0,True
G1004391,PROPULSORA PNEUMATICA DE GRAXA TAMPA E DISCO P/ TAMBOR 20KG,PC,MP,MATERIA PRIMA,N,2.0,True
G1004633,"BUCHA REDUCAO FG NBR 6590 150LBS 2"" BSP X 1"" BSP NBR 6943",PC,MP,MATERIA PRIMA,,1.0,True
G1004644,"ADAP RETO ACO NBR 7007 M 1"" NPT X M 1.5/8"" JIC 37",PC,MP,MATERIA PRIMA,,1.0,True
G1004651,"PF SX FL M10 X 1,50 X 30 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,68.0,True
G1004660,"PO SX FL M10 X 1,50 CL 8 DIN 6927 TORQ  ZF",PC,MP,MATERIA PRIMA,N,24.0,True
G1004687,"PF SX M12 X 1,75 X 35 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,1.0,True
G1004689,"PF SX M12 X 1,75 X 30 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,41.0,True
G1005029,"PO SX AUTO TRAV M8 X 1,25 CL 8 DIN 985 ZB",PC,MP,MATERIA PRIMA,N,448.0,True
G1005032,"PF SX FL M12 X 1,75 X 40 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,36.0,True
G1005312,"FILTRO DE REDE Y LATAO 2"" BSP",PC,MP,MATERIA PRIMA,N,1.0,True
G1005313,"TELA DE PROTECAO DA VALVULA DE FUNDO FURO 9,5MM",PC,MP,MATERIA PRIMA,N,2.0,True
G1005335,"LUVA FG NBR 6590 F 2"" NBR 6943 BSP 150 LBS",PC,MP,MATERIA PRIMA,,1.0,True
G1005336,"COTOVELO 90 FG NBR 6590 F 2"" NBR 6943 BSP 150 LBS",PC,MP,MATERIA PRIMA,,1.0,True
G1005488,"MOTOR HID ALUMINIO 14 CC FL SAE A DIAM PIL 82,55 EIXO CILIND CHAV CONEXAO 3/4"" NPT 14 FIOS",PC,MP,MATERIA PRIMA,N,1.0,True
G1005520,"BICO MANUAL DE ABASTECIMENTO 1"" BSP 150 LPM ALUMINIO  LUPUS 2100 PM",PC,MP,MATERIA PRIMA,,2.0,True
G1006118,"CONEXAO COTOVELO MACHO C/ PO E ANILHA 10MM X 1/4"" NPT LATAO",PC,MP,MATERIA PRIMA,N,40.0,True
G1006552,"CONEXAO ROSCADA 3/8"" NPT MACHO - JIC 3/8"" MACHO",PC,MP,MATERIA PRIMA,N,1.0,True
G1006570,ABRACADEIRA TIPO TUCHO 68-73,PC,MC,MATERIAL DE USO E CONSUMO,N,4.0,True
G1006660,"PF SX M6 X 1,00 X 25 CL 8.8 DIN 933 RI ZB",PC,MP,MATERIA PRIMA,N,14.0,True
G1006967,"BUJAO ALEN 3/8"" NPT",PC,MP,MATERIA PRIMA,N,1.0,True
G1007056,"BUCHA REDUCAO FG NBR 6590 150LBS 3/4"" BSP X 1/2"" BSP NBR 6943",PC,MP,MATERIA PRIMA,N,1.0,True
G1007287,REGISTRO ESFERA 1POL,PC,MP,MATERIA PRIMA,N,22.0,True
G1007307,"CONEXAO 90° ORIENTAVEL - 1.1/16 UNF - JIC 5/8"" MACHO",PC,MP,MATERIA PRIMA,N,2.0,True
G1007311,"CONEXAO ROSCADA 3/4"" NPT MACHO - JIC 1/2"" MACHO",PC,MP,MATERIA PRIMA,N,27.0,True
G1007348,CONEXAO COTOVELO MACHO 1/4 X 10MM ENG RAPIDO,PC,MP,MATERIA PRIMA,N,3.0,True
G1007398,ADAPTADOR RETO P SOLDA X MACHO 1 1/16 JIC 37,PC,MP,MATERIA PRIMA,N,3.0,True
G1007415,"ADAP RETO ACO NBR 7007 M 3/4"" NPT X M 1.1/16"" JIC",PC,MP,MATERIA PRIMA,N,2.0,True
G1007509,COTOVELO MACHO GIR 1/4 BSP X TB 6MM,PC,MP,MATERIA PRIMA,N,2.0,True
G1008467,COMANDO HIDRAULICO 3 FATIAS 60L/MIN MANUAL PNEUMATICO BITREM 25/28M3 CONF DES,PC,MP,MATERIA PRIMA,N,3.75,True
G1008721,"ADAP ACO NBR 7007 MACHO PARA TUBO 1.5/16"" 12FPP JIC SOLDAVEL",PC,MP,MATERIA PRIMA,N,2.0,True
G1009054,FAROL AUXILIAR LED 27W QUADRADO,PC,MP,MATERIA PRIMA,N,8.0,True
G1009085,VALVULA DE PORTINHOLA PASSAGEM PLENA VED NITRILICA MGN 101166 CONF DES,PC,MP,MATERIA PRIMA,N,2.0,True
G1009086,JUNTA VALV PORTINHOLA-NITRILICA MGN 100962,PC,MP,MATERIA PRIMA,N,2.0,True
G1009087,"JUNTA VALV API 6"" FURADA NITRILICA - MGN 100373 CONF DES",PC,MP,MATERIA PRIMA,N,2.0,True
G1009088,"JUNTA VALV FUNDO 8"" FURADA NITRILICA MGN 100372",PC,MP,MATERIA PRIMA,N,2.0,True
G1009089,VALVULA DE FUNDO PNEUMATICA - VITON MGN 201096,PC,MP,MATERIA PRIMA,N,2.0,True
G1009096,COMPRESSOR 20 PES SEM MOTOR COM VAL DE DESCARGA VOLANTE 320 MM,UN,MP,MATERIA PRIMA,N,1.0,True
G1009097,"MOTOR HID 24 CC FL SAE B DIAM PIL 101,6 EIXO CILIN CHAV DIAM 25.4 X 50 -1 1/16 UNF-3/4 ODT",PC,MP,MATERIA PRIMA,N,4.0,True
G1009099,CORREIA A52,PC,MP,MATERIA PRIMA,N,1.0,True
G1009107,BOMBA HIDRAULICA SAIDA TRASEIRA 56.5 CM3/ROT SAE B 13Z,PC,MP,MATERIA PRIMA,N,1.0,True
G1009109,PERFIL BIELASTOMERO PARA PORTAS,MT,MP,MATERIA PRIMA,N,912.2609999999999,True
G1009112,FECHO DE EMBUTIR 16MM C/CHAVE PROFUGO 724,PC,MP,MATERIA PRIMA,N,35.0,True
G1009129,REGISTRO SEXTAVADO 1/4POL 1120,PC,MC,MATERIAL DE USO E CONSUMO,N,8.0,True
G1009132,"FILTRO DE REDE Y 3/4""",PC,MP,MATERIA PRIMA,N,28.0,True
G1009160,PONTO DE ATERRAMENTO MGN 101056,PC,MP,MATERIA PRIMA,N,4.0,True
G1009172,BUCHA APOIO TANQUE DIAM EXT 70 X ALTURA 70 X DIAM INT 20 MM CONF DESENHO,PC,MP,MATERIA PRIMA,N,37.328,True
G1009174,"ANEL ORING 46,99X5,33MM (COD PARKER 2328)",PC,MC,MATERIAL DE USO E CONSUMO,N,9.0,True
G1009195,VALVULA DE SEGURANCA 175 PSI 1/4'' NPT,PC,MP,MATERIA PRIMA,N,9.0,True
G1009196,"NIPLE DUPLO FG NBR 6590 1/2"" BSP NBR 6943 150LBS",PC,MP,MATERIA PRIMA,N,3.0,True
G1009197,"ADAP TEE 90 FG NBR 6590 1/2"" BSP NBR 6943 150LBS",PC,MP,MATERIA PRIMA,N,1.0,True
G1009199,REGISTRO ESFERA 3/4POL,PC,MC,MATERIAL DE USO E CONSUMO,N,28.0,True
G1009201,CONECTOR RETO TUBO 10 X ROSCA MACHO 1/4POL NPT,PC,MP,MATERIA PRIMA,N,17.0,True
G1009204,ADAPTADOR RETO MF JIC 7/16 UNF X MF NPT 1/4,PC,MP,MATERIA PRIMA,N,1.0,True
G1009205,ADAPTADOR 90° MF JIC 7/8 UNF X MF NPT 3/8,PC,MP,MATERIA PRIMA,N,2.0,True
G1009208,CURVA ACO SCH40 RL PS 2POL X 90 GRAUS,PC,MP,MATERIA PRIMA,N,3.0,True
G1009210,ABRACADEIRA ACO CARBONO SUPRENS MS MPA 3540,PC,MC,MATERIAL DE USO E CONSUMO,N,2.0,True
G1009212,CARRETEL ABERTO 1/4POL P/ GRAXAC/ 15M DE MANG S/ MANGOTE COD BREMEN 3791,PC,MP,MATERIA PRIMA,N,2.0,True
G1009213,VALVULA CONTROLE P/ GRAXA MACHO 1/4 C/ GIRATORIO Z COD BREMEN 8641,PC,MP,MATERIA PRIMA,N,2.0,True
G1009214,CARRETEL ABERTO 1/2POL P/ OLEO C/ 15M DE MANG S/ MANGOTE COD BREMEN 3789,PC,MP,MATERIA PRIMA,N,4.0,True
G1009218,ESGUICHO AGUA LONGO REGULAVEL DE 1/2 EM FERRO COD BREMEN 1449,PC,MP,MATERIA PRIMA,N,1.0,True
G1009219,CARRETEL ABERTO 3/4 P/ DIESEL C/ 15M DE MANG PRESSAO 100BAR COD BREMEN 7379,PC,MP,MATERIA PRIMA,N,2.0,True
G1009222,CJ LUBRIFIL DE 1/2POL PRESSAO MAXIMA 10 BAR C/ CAPA COD BREMEN 3363,KT,MP,MATERIA PRIMA,N,1.0,True
G1009228,MEDIDOR DIGITAL P/OLEO LUB C/ GATILHO GIRATORIO GOODYEAR COD BREMEN 8915,PC,MP,MATERIA PRIMA,N,3.0,True
G1009243,"PF SX M14 X 2,00 X 50 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,32.0,True
G1009263,"PO BORBOLETA - M12-1,75 MA ZINCADA",PC,MP,MATERIA PRIMA,N,8.0,True
G1009267,BOCAL DE ABASTECIMENTO DE OLEO DIAM83,PC,MP,MATERIA PRIMA,N,4.0,True
G1009268,"VISOR DE NIVEL 3/4"" NPT",PC,MP,MATERIA PRIMA,N,3.0,True
G1009269,SUPORTE PLACA DE ADV 300 X 300,PC,MP,MATERIA PRIMA,N,3.0,True
G1009270,SUPORTE PLACA DE ADV 400 X 300,PC,MP,MATERIA PRIMA,N,4.0,True
G1009282,CAP PVC ROSCAVEL 3POL,PC,MP,MATERIA PRIMA,N,2.0,True
G1009283,EXTINTOR PQS 8KG S/ SUPORTE,UN,MC,MATERIAL DE USO E CONSUMO,N,2.0,True
G1009662,CHICOTE AIZ CABO 300MM COM TYCO,PC,MP,MATERIA PRIMA,N,100.0,True
G1009680,"PO BORBOLETA - M10-1,50 MA ZF",PC,MP,MATERIA PRIMA,N,4.0,True
G1009849,NIPLE DUPLO FG NBR 6590 1'' BSP NBR 6943 150LBS,PC,MP,MATERIA PRIMA,N,21.0,True
G1009865,ADAP TEE 90 FG NBR 6590 1'' BSP NBR 6943 150LBS,PC,MP,MATERIA PRIMA,N,3.0,True
G1011097,"PO BORBOLETA - M8 -1,25 MA ZINCADA",PC,MP,MATERIA PRIMA,N,2.0,True
G1012070,BLOCO VOLUMETRICO DE PISTAO C/ NUMER 12 150L/MIN 2POL  X 1 1/2POL COD BREMEN 9694,PC,MP,MATERIA PRIMA,N,1.0,True
G1012071,"CARRETEL RETRATIL 1"" P/ DIESEL C/ 15M DE MANG COD BREMEN 7381",PC,MP,MATERIA PRIMA,N,1.0,True
G1012072,BICO ABAST AUT 1POL VERMELHO V 120L/M FUNC PESADAS COD BREMEN 1843,PC,MP,MATERIA PRIMA,N,1.0,True
G1012130,ADAPTADOR AGR1POL WD AGJ1.1/16POL - GEHRED16HJ12,PC,MP,MATERIA PRIMA,N,29.0,True
G1012232,TUBO NYLON TRANSP. PA 6 - DIAM EXT 10 X DIAM INT 07MM - VISOR NIVEL,MT,MP,MATERIA PRIMA,N,148.325,True
G1012242,"BUJAO ALEN 1/2"" NPT",PC,MP,MATERIA PRIMA,N,1.0,True
G1013109,"PO SX M4 X 0,70 CL6 DIN934 ZF",PC,MP,MATERIA PRIMA,N,200.0,True
G1013235,"ADAP TEE 90 FG NBR 6590 1/4"" BSP NBR 6943 150LBS",PC,MP,MATERIA PRIMA,N,1.0,True
G1013898,BOMBA CPL 016 HD-16/25 V-15,PC,MP,MATERIA PRIMA,N,1.0,True
G1014176,ADAPTADOR AGR1/2POL AGN3/8POL - GEHB08HN06,PC,MP,MATERIA PRIMA,N,1.0,True
G1014845,"PO SX FL TORQUE M16 X 2,00 CL10 DIN 6927 ZFE",PC,MP,MATERIA PRIMA,N,32.0,True
G1014966,MANGUEIRA SUCCAO C/ ALMA DE ACO DN60 - SGB160,MT,MP,MATERIA PRIMA,N,0.35,True
G1015172,"TOMADA DE FORCA CX AT2612D TRAS FLANGE SAE B 13Z 1:0,9 ANTI.HOR T9160.00",PC,MP,MATERIA PRIMA,N,1.0,True
G1015398,PLAQUETA ALUMINIO 100 X 40 SERIE VASO DE PRESSAO CONF DES,PC,MP,MATERIA PRIMA,N,9.0,True
G1015402,"LENCOL DE BORRACHA 9,5 X 1000 X 1000MM 1 LONA 70 SHORE NR1087",M,MP,MATERIA PRIMA,N,211.83679999999998,True
G1016221,"PF SX FL M20 X 2,50 X 80 CL10.9 DIN6921 RP",PC,MP,MATERIA PRIMA,N,100.0,True
G1017483,"BOMBA DE ENGRANAGEM 1"" ED 1 X 42 VEDACAO POR GAXETA",PC,MP,MATERIA PRIMA,N,2.0,True
G1017788,ACOPLAMENTO FLEXIVEL AC 28,PC,MP,MATERIA PRIMA,N,4.0,True
G1018184,"ACOPLADOR ALUMINIO FEMEA 1"" X ROSCA INT BSP 1"" 11 FIOS",PC,MP,MATERIA PRIMA,N,11.0,True
G1018185,"ADAPTADOR ALUMINIO MACHO 1"" X ESPIGAO 1""",PC,MP,MATERIA PRIMA,N,1.0,True
G1018186,"MANG SUCCAO E DESCARGA AZUL 1""",MT,MP,MATERIA PRIMA,N,0.2,True
G1018205,ADAPTADOR TAMPAO DE ALUMINIO 1'',PC,MP,MATERIA PRIMA,N,11.0,True
G1019036,DH GERADOR DE VACUO MGV 20,PC,MP,MATERIA PRIMA,N,1.0,True
G1019910,"BOMBA 1,5 X 1 1C C/ MANCAL ROTOR 159MM SCHNEIDER BC 92S 1C 3CV MANCAL RT 159MM",PC,MP,MATERIA PRIMA,N,1.0,True
G1020286,"CALCO P/ CAMINHAO C/ CORDA 15,5 CM X 23 CM LARG 20 TON NBR 9735",PC,MP,MATERIA PRIMA,N,8.0,True
G1021152,"VALVULA DE ALIVIO DISCO METALICO 1"" BSP 3,5 BAR",PC,MP,MATERIA PRIMA,N,3.0,True
G1021155,TAMPA DE INSPECAO ALUM 450MM MECANICA PREP P/ BOTTOM C/ VENTILACAO 90 VITON MGN COD 201429,PC,MP,MATERIA PRIMA,N,2.0,True
G1022048,"ADAPTADOR RETO MF 1/2"" BSP X 7/8"" JIC",PC,MP,MATERIA PRIMA,N,7.0,True
G1022563,POLIA A160 1 CANAL FERRO FUNDIDO,PC,MP,MATERIA PRIMA,N,1.0,True
G1022571,"CURVA AC ASTM A234 GR WPB 90 RL SCH40 1"" ANSI B 16.9 PS DIAM EXT 33,40MM ESP 3,38MM",PC,MP,MATERIA PRIMA,N,10.0,True
G1022588,NIPLE DUPLO FG NBR 6590 1'' NPT NBR 6925 300LBS,PC,MP,MATERIA PRIMA,N,4.0,True
G1024104,"ANEL ORING 29,82 X 2,62MM NBR 70SH REF 2 123 PARKER",PC,MP,MATERIA PRIMA,N,1.0,True
G1024105,"ANEL ORING 15,54 X 2,62MM NBR 70SH REF 2 114 PARKER",PC,MP,MATERIA PRIMA,N,1.0,True
G1024106,"ANEL ORING 18,72 X 2,62MM NBR 70SH REF 2 116 PARKER",PC,MP,MATERIA PRIMA,N,2.0,True
G2000052,"BARRA REDONDA SAE1020 9,52MM TREFILADA",KG,MP,MATERIA PRIMA,N,2.16,True
G2000053,"BARRA REDONDA SAE1020 12,70MM TREFILADA",KG,MP,MATERIA PRIMA,N,0.8,True
G2000054,"BARRA REDONDA SAE1020 15,88MM TREFILADA",KG,MP,MATERIA PRIMA,N,1557.2299999999993,True
G2000064,"BARRA REDONDA SAE1020 7,93MM LAMINADA",KG,MP,MATERIA PRIMA,N,143.36000000000004,True
G2000069,"BARRA REDONDA SAE1020 22,22MM LAMINADA",KG,MP,MATERIA PRIMA,N,66.12,True
G2000073,"BARRA REDONDA SAE1020 41,27MM LAMINADA",KG,MP,MATERIA PRIMA,N,18.240000000000006,True
G2000074,"BARRA REDONDA SAE1020 44,45MM LAMINADA",KG,MP,MATERIA PRIMA,N,6.72,True
G2000076,"BARRA REDONDA SAE1020 50,80MM LAMINADA",KG,MP,MATERIA PRIMA,N,2.56,True
G2000082,"BARRA REDONDA SAE1045 31,75MM LAMINADA",KG,MP,MATERIA PRIMA,N,2.2,True
G2000166,"BARRA REDONDA SAE1020 63,50MM LAMINADA",KG,MP,MATERIA PRIMA,N,9.99,True
G2000183,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 COM COSTURA 33,40 X 26,64 X 3,38MM",KG,MP,MATERIA PRIMA,N,11.700000000000001,True
G2000188,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 COM COSTURA 88,90 X 77,92 X 5,49MM",KG,MP,MATERIA PRIMA,N,0.79,True
G2000380,"TUBO DIN 2440 NBR5580 26,90 X 21,60 X 2,65MM",KG,MP,MATERIA PRIMA,N,121.84,True
G2000473,"TUBO DIN 2440 NBR5580 17,20 X 11,90 X 2,65MM",KG,MP,MATERIA PRIMA,N,66.04,True
G2000815,"CHAPA ACO INOX 304 2,00MM",KG,MP,MATERIA PRIMA,N,0.77,True
G2005693,"TUBO DIN 2440 NBR5580 76,10 X 69,40 X 3,35MM",KG,MP,MATERIA PRIMA,N,14.100000000000001,True
G2005696,"TUBO INDUSTRIAL 22,22 X 2,65 PAREDE",KG,MP,MATERIA PRIMA,N,356.864,True
G2005707,"TUBO DIN 2440 NBR5580 60,30 X 52,80 X 3,75MM",KG,MP,MATERIA PRIMA,N,10.33,True
G2005756,"TUBO MECANICO VMEC 134 AP DN 62 X 41 X 10,50MM",KG,MP,MATERIA PRIMA,N,11.61,True
G2005789,"TUBO DIN 2440 NBR5580 33,70 X 27,20 X 3,25MM",KG,MP,MATERIA PRIMA,N,1.28,True
G2005798,"TUBO REDONDO NBR 5590 ANSI B 36.10 SCH40 SEM COSTURA 33,40 X 26,64 X 3,38MM",KG,MP,MATERIA PRIMA,N,6.54,True
G2005868,"TUBO DIN 2440 NBR5580 48,30 X 41,60 X 3,35MM",KG,MP,MATERIA PRIMA,N,2.25,True
G2005882,"CHAPA ACO A36 3,00MM",KG,MP,MATERIA PRIMA,N,2656.830000000001,True
G2005883,"CHAPA ACO A36 7,94MM",KG,MP,MATERIA PRIMA,N,55.33,True
G2005884,"CHAPA ACO A36 9,52MM",KG,MP,MATERIA PRIMA,N,4.23,True
G2005885,"CHAPA ACO A36 12,70MM",KG,MP,MATERIA PRIMA,N,11.84,True
G2005887,"CHAPA ACO A36 6,35MM",KG,MP,MATERIA PRIMA,N,101156.9800000001,True
G2005931,"CHAPA ACO A36 4,75MM",KG,MP,MATERIA PRIMA,N,10920.109,True
G2005932,"CHAPA ACO A36 2,00MM",KG,MP,MATERIA PRIMA,N,2124.64,True
G2005934,"CHAPA ACO A36 19,05MM",KG,MP,MATERIA PRIMA,N,4.76,True
G2005940,"CHAPA ACO A36 2,65MM",KG,MP,MATERIA PRIMA,N,4477.300000000001,True
G2005946,"CHAPA ACO A36 3,75MM",KG,MP,MATERIA PRIMA,N,714.8700000000001,True
G2006084,"CHAPA ACO A36 1,50MM",KG,MP,MATERIA PRIMA,N,50.24,True
G2006183,"CHAPA ACO XADREZ 3,18MM",KG,MP,MATERIA PRIMA,N,59.760000000000005,True
G2006323,"CHAPA ACO A36 1,00MM",KG,MP,MATERIA PRIMA,N,1.3499999999999999,True
G2006399,"TUBO REDONDO SAE1010 DIN2440  C/COSTURA 15,88X12,7MM",KG,MP,MATERIA PRIMA,N,0.64,True
G2007032,"TUBO DIN 2440 NBR5580 60,30 X 54,30 X 3,00MM",KG,MP,MATERIA PRIMA,N,2.691,True
G3000214,"PF SX M8 X 1,25 X 25 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,2.0,True
G3000221,"PO SX M12 X 1,75 CL 10 INS NY AUTO TRAV DIN985",PC,MP,MATERIA PRIMA,N,41.0,True
G3000223,ARRUELA LISA M8,UN,MP,MATERIA PRIMA,N,8.0,True
G3000229,FAIXA REFLETIVA LATERAL 300MM DIREITA,PC,MP,MATERIA PRIMA,N,25.0,True
G3000230,FAIXA REFLETIVA LATERAL 300MM ESQUERDA,PC,MP,MATERIA PRIMA,N,25.0,True
G3000231,"ADESIVO REFLETIVO 0,10 X 2,40M PARA-CHOQUE CONF DES",PC,MP,MATERIA PRIMA,N,1.0,True
G3000303,"PF SX M8 X 1,25 X 30 CL 5.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,16.0,True
G3000308,"PO SX M6 X 1,00 CL8 DIN934 ZF",PC,MP,MATERIA PRIMA,N,2.0,True
G3000309,"PO SX M8 X 1,25 CL 8 DIN 934 ZF",PC,MP,MATERIA PRIMA,N,16.0,True
G3000312,"PO SX M14X2,00 CL8 DIN934 ZF",PC,MP,MATERIA PRIMA,N,44.0,True
G3000314,ARRUELA LISA M4 ABA LARGA ZINCADO,PC,MP,MATERIA PRIMA,N,200.0,True
G3000325,"PO REBITE SX M6 X 1,00 TUBULAR ROSCA INT ZINCADO",PC,MP,MATERIA PRIMA,N,14.0,True
G3000328,"REBITE REPUXO ALUMINIO 4,8 X 12MM",PC,MP,MATERIA PRIMA,N,284.0,True
G3000951,ARRUELA LISA M10 ZB,PC,MP,MATERIA PRIMA,,6038.0,True
G3001009,"PF SX M10 X 1,50 X 40 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,20.0,True
G3001012,"PO SX M10 X 1,50 CL8 DIN934 ZB",PC,MP,MATERIA PRIMA,N,56.0,True
G3001067,"PO SX M10 X 1,50 CL8 INS NY AUTO TRAV DIN985 ZF",PC,MP,MATERIA PRIMA,,5961.0,True
G3001079,PO SEXTAVADA M12 CL 8 PARLOCK,PC,MP,MATERIA PRIMA,,233.0,True
G3001107,"PF SX M10 X 1,50 X 30 CL 8.8 DIN 933 RI ZF",PC,MP,MATERIA PRIMA,N,40.0,True
G3001126,ARRUELA LISA M12 ZB,PC,MP,MATERIA PRIMA,,244.0,True
G3001128,ARRUELA  LISA M14 ZB,PC,MP,MATERIA PRIMA,N,16.0,True
G3001749,"PF SX M12 X 1,75 X 50 CL8.8 DIN933 RI ZF",PC,MP,MATERIA PRIMA,,12.0,True
G3001751,"PF SX M12 X 1,75 X 60 CL8.8 DIN933 RI ZF",PC,MP,MATERIA PRIMA,,8.0,True
G3002236,"PF SX FL SERRILHADO M8 X 1,25 X 25 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,,11428.0,True
G3002307,"PF SX FL M12 X 1,75 X 30 CL8.8 DIN 6921 ZF",PC,MP,MATERIA PRIMA,,36.0,True
G3002424,ARRUELA LISA M6,PC,MP,MATERIA PRIMA,,4.0,True
G3002554,TERMINAL OLHAL 6MM PRE ISOLADO,PC,MP,MATERIA PRIMA,,2.0,True
G3002567,"PF SX FL M12 X 1,75 X 50 CL10.9 DIN6921 ZF",CT,MP,MATERIA PRIMA,,196.0,True
G3003160,"PF SX FL M8 X 1,25 X 20 CL10.9 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,8.0,True
G3003418,"PF SX M20 X 2,50 X 140 RI CL 8.8 ZF",PC,MP,MATERIA PRIMA,N,32.0,True
G3003422,"CABO PP RET 2 X 0,75MM 70G 300V PT E BR 200MTS COD SINALSUL 9093",MT,MP,MATERIA PRIMA,N,16.0,True
G3003675,"BUCHA REDUCAO FG NBR 6590 150LBS 1/2"" BSP X 1/4"" BSP NBR 6943",PC,MP,MATERIA PRIMA,N,2.0,True
G3004330,"PF SX FL M10 X 1,50 X 25 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,6.0,True
G3004331,"PF SX FL M10 X 1,50 X 40 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,2.0,True
G3004344,"PF SX FL M8 X 1,25 X 35 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,308.0,True
G3004406,"PO SX FL M12X1,75 CL8 INS NY AUTO TRAV DIN985",PC,MP,MATERIA PRIMA,N,4.0,True
G3004428,"PF SX FL M8 X 1,25 X 25 CL8.8 DIN6921 ZF",PC,MP,MATERIA PRIMA,N,448.0,True
G3004553,"PF SX M14 X 2,00 X 30MM CL 8.8 DIN 933 RI ZB",PC,MP,MATERIA PRIMA,N,8.0,True
G3004555,"PF SX M14 X 2,00 X 40 CL8.8 DIN933 RI ZB",PC,MP,MATERIA PRIMA,N,4.0,True
G3005252,"PF SX FL M16 X 2,0 X 45 CL 10.9 DIN 912 RP DIN 6921 ZF",PC,MP,MATERIA PRIMA,N,32.0,True
G3006035,"GONZO 16MM 5/8"" CONF DES",PC,MP,MATERIA PRIMA,N,118.0,True
