componente,DESCRICAO_PRODUTO,UNIDADE_MEDIDA,CLASSIFICACAO_AIZI,TIPO,DESCRICAO_TIPO,ITEM_FANTASMA,quantidade_por_conjunto,quantidade_conjuntos,quantidade_necessaria,cadastro_encontrado,quantidade_total,FABRICAR,COMPRAR,MATERIA_PRIMA,ITEM_COMERCIAL
G1009212,CARRETEL ABERTO 1/4POL P/ GRAXAC/ 15M DE MANG S/ MANGOTE COD BREMEN 3791,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1009213,VALVULA CONTROLE P/ GRAXA MACHO 1/4 C/ GIRATORIO Z COD BREMEN 8641,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1009214,CARRETEL ABERTO 1/2POL P/ OLEO C/ 15M DE MANG S/ MANGOTE COD BREMEN 3789,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1009218,ESGUICHO AGUA LONGO REGULAVEL DE 1/2 EM FERRO COD BREMEN 1449,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1009219,CARRETEL ABERTO 3/4 P/ DIESEL C/ 15M DE MANG PRESSAO 100BAR COD BREMEN 7379,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1009228,MEDIDOR DIGITAL P/OLEO LUB C/ GATILHO GIRATORIO GOODYEAR COD BREMEN 8915,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1009243,"PF SX M14 X 2,00 X 50 CL 8.8 DIN 933 RI ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,32.0,10.0,320.0,True,32.0,False,True,False,True
G1009263,"PO BORBOLETA - M12-1,75 MA ZINCADA",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,8.0,10.0,80.0,True,8.0,False,True,False,True
G1009267,BOCAL DE ABASTECIMENTO DE OLEO DIAM83,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1009268,"VISOR DE NIVEL 3/4"" NPT",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1009269,SUPORTE PLACA DE ADV 300 X 300,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1009270,SUPORTE PLACA DE ADV 400 X 300,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1009282,CAP PVC ROSCAVEL 3POL,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1009662,CHICOTE AIZ CABO 300MM COM TYCO,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,100.0,10.0,1000.0,True,100.0,False,True,False,True
G1009680,"PO BORBOLETA - M10-1,50 MA ZF",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,4.0,10.0,40.0,True,4.0,False,True,False,True
G1009849,NIPLE DUPLO FG NBR 6590 1'' BSP NBR 6943 150LBS,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,21.0,10.0,210.0,True,21.0,False,True,False,True
G1009865,ADAP TEE 90 FG NBR 6590 1'' BSP NBR 6943 150LBS,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,3.0,10.0,30.0,True,3.0,False,True,False,True
G1011097,"PO BORBOLETA - M8 -1,25 MA ZINCADA",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,2.0,10.0,20.0,True,2.0,False,True,False,True
G1012070,BLOCO VOLUMETRICO DE PISTAO C/ NUMER 12 150L/MIN 2POL  X 1 1/2POL COD BREMEN 9694,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1012071,"CARRETEL RETRATIL 1"" P/ DIESEL C/ 15M DE MANG COD BREMEN 7381",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1012072,BICO ABAST AUT 1POL VERMELHO V 120L/M FUNC PESADAS COD BREMEN 1843,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
G1012130,ADAPTADOR AGR1POL WD AGJ1.1/16POL - GEHRED16HJ12,PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,29.0,10.0,290.0,True,29.0,False,True,False,True
G1012242,"BUJAO ALEN 1/2"" NPT",PC,ITEM_COMERCIAL,MP,MATERIA PRIMA,N,1.0,10.0,10.0,True,1.0,False,True,False,True
